,OverallQual,OverallCond,ExterQual,BsmtQual,BsmtCond,HeatingQC,1stFlrSF,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,perc_1stflr,house_footprint,RoomSize,Bsmt_Y,AgeSold,gaudist_LincolnGrand,gaudist_GreekCircle,gaudist_OntarioND,gaudist_Grand24,gaudist_BloomStange,BsmtBath,Bath,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood
0,6,6,0,0.0,0.0,0,856,2,0,4,1,2.0,100.0,10.84917617237008,214.0,1,60,0.3010759900934367,0.9102763351687964,0.2300172027262275,0.062109537725821055,0.04095234696589315,1.0,1.0,0,0,0,1,0,0,0,0
1,5,5,5,5.0,0.0,0,1049,2,5,5,0,1.0,100.0,24.76977567886658,209.8,1,25,0.10216099160661885,0.5705355803808888,0.6349562131418779,0.041405209381865885,0.07730237852844352,1.0,2.0,0,0,1,1,0,0,0,0
2,5,9,5,0.0,0.0,10,1001,2,5,5,0,1.0,100.0,16.518151815181508,200.2,1,0,0.9501766360374102,0.36339398341765955,0.0049720241211804895,0.2754212111851571,0.024921114472390617,0.0,1.0,0,0,0,0,0,0,0,0
3,4,8,5,-5.0,0.0,5,717,2,0,6,0,1.0,69.00866217516844,8.80186594647679,173.16666666666666,1,6,0.5955076650162286,0.17577717472867269,0.00543043160940286,0.7945667240868172,0.13285865790135384,0.0,1.0,0,0,0,0,0,0,0,0
4,8,6,5,5.0,0.0,10,810,3,5,6,0,2.0,48.64864864864865,9.64285714285714,277.5,1,8,0.31065756417678564,0.244589837364034,0.06102128904870077,0.8563369786830385,0.6154217824185315,1.0,2.5,0,0,0,0,1,0,0,0
5,7,5,5,0.0,0.0,10,495,4,5,7,1,2.0,25.754422476586893,6.77989316531982,274.57142857142856,0,6,0.04018562861751869,0.3684104017634612,0.5700049287705347,0.009429825930437927,0.021628163982840603,0.0,3.0,0,0,0,0,0,1,0,0
6,4,4,-5,-5.0,0.0,0,936,2,0,4,0,2.0,100.0,15.6,234.0,1,56,0.8142297611933258,0.2666208544380617,0.005967348377348904,0.592268171435563,0.07765966078348684,0.0,1.0,1,0,0,1,0,0,0,0
7,7,5,5,5.0,0.0,10,1246,2,5,5,1,2.0,100.0,33.58490566037735,249.2,1,0,0.017664968645312005,0.01995917271219134,0.03660045932633308,0.2972312190020593,0.8955729933424603,0.0,2.0,0,0,0,0,1,0,0,0
8,5,6,0,0.0,0.0,0,889,3,0,6,0,2.0,100.0,7.17224687373941,148.16666666666666,1,24,0.04412743413324428,0.014231975329538838,1.0021007557770764e-05,0.00042612905602570656,4.45606733849175e-06,0.0,1.0,0,0,0,1,0,0,0,0
9,6,5,0,5.0,0.0,10,1072,2,5,5,0,2.0,100.0,29.17006802721088,214.4,1,2,0.04899328019134252,0.4110221171868749,0.5535382291931945,0.011467361241812916,0.023913133199334084,1.0,1.0,0,0,1,0,1,0,0,0
10,8,5,5,5.0,0.0,10,1342,2,5,6,1,2.0,100.0,21.50641025641025,223.66666666666663,1,1,0.026544793659050048,0.05238233196961423,0.1416070554656994,0.24688198437689227,0.949715306395158,0.0,2.0,0,0,1,0,1,0,0,0
11,5,5,0,5.0,0.0,5,624,3,0,6,0,2.0,48.97959183673469,5.95704057279236,212.33333333333331,1,19,0.039496363663311336,0.010734276767070379,5.863711851503386e-06,0.0003862166361762905,3.3953355517704995e-06,0.0,1.5,0,0,0,0,1,0,0,0
12,4,6,0,-5.0,0.0,0,861,2,0,5,0,2.0,100.0,11.6288492706645,172.2,1,59,0.7175817496912058,0.18652358444662903,0.003149414510393069,0.5729332810154824,0.062141319828613144,0.0,1.0,0,0,0,0,0,0,0,0
13,6,5,0,5.0,0.0,5,1394,3,0,6,2,2.0,100.0,14.67368421052631,232.33333333333331,1,46,0.28928119226907756,0.09280783767891354,0.006785891827105156,0.9706414201292325,0.30297218602963993,1.0,1.5,0,0,0,1,0,0,0,0
14,7,5,5,5.0,0.0,10,1536,3,5,7,0,2.0,100.0,16.814449917898187,219.42857142857144,1,5,0.003990593566448393,0.08905402706542635,0.3888801892011836,0.0006155902566887252,0.002831210203825195,1.0,2.0,0,0,0,0,1,0,0,0
15,6,5,5,5.0,0.0,10,886,3,5,7,0,2.0,52.73809523809524,10.44811320754717,240.0,1,14,0.0026668047759198744,0.050364544711388126,0.8792039968250347,0.0032493206028017217,0.04166508600846438,0.5,2.5,0,0,0,0,1,0,0,0
16,7,5,5,5.0,0.0,10,1274,3,5,6,0,2.0,100.0,14.454277286135689,212.33333333333331,1,0,0.0037607159399411865,0.08048250665553712,0.7147623304376275,0.0015367304365660063,0.011913968686177554,1.0,2.0,0,0,0,0,1,0,0,0
17,3,3,0,0.0,0.0,0,864,2,0,5,0,0.0,100.0,10.4752667313288,172.8,1,58,0.208219034624168,0.799682745909159,0.40764794728217935,0.06530785453770904,0.07073411971835065,1.0,1.0,0,0,0,0,0,0,0,0
18,6,7,0,0.0,0.0,5,1610,3,5,6,2,2.0,100.0,15.184381778741859,268.3333333333333,1,9,0.2911129639842006,0.3141231873347775,0.11479851878881613,0.70405952751744,0.6541624061215653,1.0,2.0,0,0,0,0,1,0,0,0
19,6,5,0,5.0,0.0,10,1091,2,0,5,0,1.0,100.0,14.157799117570722,218.2,1,13,0.057368778767121854,0.021475083001269928,2.0634737294123296e-05,0.000613638806024583,7.970470821024535e-06,0.5,1.0,0,0,0,1,0,0,0,0
20,7,5,5,5.0,0.0,10,1486,3,5,7,0,2.0,100.0,19.97043408144066,212.28571428571428,1,1,0.0017126015129851134,0.03593171402906852,0.8189404722385768,0.0023799268217950496,0.036813259231259915,0.0,2.0,0,0,0,0,1,0,0,0
21,5,5,0,0.0,0.0,10,789,2,0,5,0,1.0,100.0,13.15,157.8,1,58,0.6778214390674764,0.17392742540389783,0.0032033746300419216,0.6190162900983431,0.07161138464979741,0.0,1.0,0,0,0,1,0,0,0,0
22,6,9,0,0.0,0.0,10,546,3,0,6,0,0.0,50.0,36.96682464454976,182.0,1,1,0.09615756223429987,0.028339028705292292,2.6791943051945333e-05,0.0016021626365406438,2.0916767691016972e-05,0.0,2.5,0,0,1,1,0,0,0,0
23,7,7,5,0.0,-5.0,0,1320,4,5,8,1,4.0,50.0,11.28205128205128,330.0,1,6,0.8495063357708673,0.2734923816237771,0.00520760998430074,0.5211035564027231,0.06078330081599317,0.0,1.5,0,0,0,0,0,0,1,0
24,5,5,0,0.0,0.0,0,525,3,0,6,0,1.0,48.07692307692308,31.25,182.0,1,39,0.16179077617675588,0.09334064416939804,0.024650481270820097,0.8753897827711413,0.6704795301809034,0.0,1.5,0,0,1,1,0,0,0,0
25,7,5,0,5.0,0.0,10,608,3,5,6,0,2.0,41.70096021947874,4.60466525295365,243.0,1,0,0.017354293428335204,0.023821706281645257,0.05459828628129978,0.26506044680299595,0.9272519650961559,0.0,2.0,0,0,0,0,1,0,0,0
26,8,5,5,5.0,0.0,10,1466,3,5,7,0,3.0,100.0,16.42577030812325,209.42857142857144,1,2,0.06363166803712467,0.23422477788760956,0.013524977156885996,0.0013996887807527216,0.00030917305740296285,0.0,2.0,0,0,0,0,1,0,0,0
27,6,5,5,5.0,0.0,10,769,3,5,5,0,2.0,48.88747616020343,36.32498819083609,314.6,1,10,0.148829323923659,0.2416461851543423,0.2071249269909313,0.47633960758139093,0.8020035803955885,0.0,2.5,0,0,1,0,1,0,0,0
28,7,6,0,5.0,0.0,10,1107,3,0,7,2,2.0,52.96650717703349,10.662685417068001,298.57142857142856,1,36,0.20553903066153106,0.15546711141228395,0.049876368656427035,0.8402274123189073,0.7278447657831737,1.0,2.5,0,0,0,1,0,0,0,0
